key_ID,name,year_received_the_Order_of_the_Elephant,birth_date,certainty_of_birth_date,year_of_death,certainty_of_year_of_death,region,continent,reigning_monarch_of_Denmark,beginning_of_rule,end_of_rule
1,Eiler_Hardenberg,1559,1500,uncertain,1565,certain,Denmark,Europe,Frederik_II,1559,1588
2,Verner_Parsberg,1559,1511,certain,1567,certain,Denmark,Europe,Frederik_II,1559,1588
3,Niels_Lange,1559,NA,uncertain,1564,certain,Denmark,Europe,Frederik_II,1559,1588
4,Børge_Trolle,1559,1501,certain,1571,certain,Denmark,Europe,Frederik_II,1559,1588
5,Herluf_Trolle,1559,1516,certain,1565,certain,Denmark,Europe,Frederik_II,1559,1588
6,Erik_Krabbe,1559,1510,certain,1564,certain,Denmark,Europe,Frederik_II,1559,1588
7,Jørgen_Lykke,1559,NA,uncertain,1583,certain,Denmark,Europe,Frederik_II,1559,1588
8,Tage_Ottesen_Thott,1559,NA,uncertain,1562,certain,Denmark,Europe,Frederik_II,1559,1588
9,Lave_Truidsen_Ulfstand,1559,NA,uncertain,1561,certain,Denmark,Europe,Frederik_II,1559,1588
10,Corfitz_Ulfeldt,1559,1520,uncertain,1563,certain,Denmark,Europe,Frederik_II,1559,1588
11,Jens_Truidsen_Ulfstand,1559,NA,uncertain,1566,certain,Denmark,Europe,Frederik_II,1559,1588
12,Albret_Skeel,1559,NA,uncertain,1568,certain,Denmark,Europe,Frederik_II,1559,1588
13,Frands_Brockenhuus,1559,1518,certain,1569,certain,Denmark,Europe,Frederik_II,1559,1588
14,Otte_Brahe,1559,1518,certain,1571,certain,Denmark,Europe,Frederik_II,1559,1588
15,Holger_Rosenkrantz,1559,1517,certain,1575,certain,Denmark,Europe,Frederik_II,1559,1588
16,Erik_Rud,1559,1519,certain,1577,certain,Denmark,Europe,Frederik_II,1559,1588
17,Jacob_Brockenhuus,1559,1521,certain,1577,certain,Denmark,Europe,Frederik_II,1559,1588
18,Hans_den_Yngre,1580,1545,certain,1622,certain,Denmark,Europe,Frederik_II,1559,1588
19,Henrik_Rantzau,1580,1526,certain,1598,certain,Denmark,Europe,Frederik_II,1559,1588
20,Christoffer_Valkendorf,1580,1525,certain,1601,certain,Denmark,Europe,Frederik_II,1559,1588
21,Bendix_Ahlefeldt,1580,1546,certain,1606,certain,Denmark,Europe,Frederik_II,1559,1588
22,Jørgen_Ottesen_Rosenkrantz,1580,1523,certain,1596,certain,Denmark,Europe,Frederik_II,1559,1588
23,Tyge_Brahe,1580,1546,certain,1601,certain,Denmark,Europe,Frederik_II,1559,1588
24,Steen_Brahe,1580,1547,certain,1620,certain,Denmark,Europe,Frederik_II,1559,1588
25,Johann_VII,1580,1540,certain,1603,certain,Germany,Europe,Frederik_II,1559,1588
26,Christen_Friis,1634,1581,certain,1639,certain,Denmark,Europe,Christian_IV,1588,1648
27,Albret_Skeel,1634,1572,certain,1639,certain,Denmark,Europe,Christian_IV,1588,1648
28,Jørgen_Urne,1633,1598,certain,1642,certain,Denmark,Europe,Christian_IV,1588,1648
29,Claus_Daa,1633,1579,certain,1641,certain,Denmark,Europe,Christian_IV,1588,1648
30,Mogens_Kaas,1633,1570,certain,1656,certain,Denmark,Europe,Christian_IV,1588,1648
31,Tage_Ottesen_Thott,1633,1580,certain,1658,certain,Denmark,Europe,Christian_IV,1588,1648
32,Christoffer_Ulfeldt,1633,1583,certain,1653,certain,Denmark,Europe,Christian_IV,1588,1648
33,Knud_Gyldenstierne,1633,1573,certain,1636,certain,Denmark,Europe,Christian_IV,1588,1648
34,Frederik_Reedtz,1633,1586,certain,1659,certain,Denmark,Europe,Christian_IV,1588,1648
35,Tage_Andersen_Thott,1633,NA,uncertain,1643,certain,Denmark,Europe,Christian_IV,1588,1648
36,Henrik_Huitfeldt,1633,1583,certain,1652,certain,Denmark,Europe,Christian_IV,1588,1648
37,Palle_Rosenkrantz,1633,1587,certain,1642,certain,Denmark,Europe,Christian_IV,1588,1648
38,Jørgen_Brahe,1633,1585,certain,1661,certain,Denmark,Europe,Christian_IV,1588,1648
39,Otte_Skeel,1634,1576,certain,1634,certain,Denmark,Europe,Christian_IV,1588,1648
40,Christen_Thomesen_Sehested,1634,1590,certain,1657,certain,Denmark,Europe,Christian_IV,1588,1648
41,Hans_Johansen_Lindenov,1634,1573,certain,1642,certain,Denmark,Europe,Christian_IV,1588,1648
42,Just_Høeg,1634,1584,certain,1646,certain,Denmark,Europe,Christian_IV,1588,1648
43,Christoffer_Urne,1634,1593,certain,1663,certain,Denmark,Europe,Christian_IV,1588,1648
44,Cai_von_Ahlefeldt,1634,1591,certain,1670,certain,Denmark,Europe,Christian_IV,1588,1648
45,Caspar_von_Buchwald,1634,1591,certain,1669,certain,Denmark,Europe,Christian_IV,1588,1648
46,Christian_von_Pentz,1634,1600,certain,1651,certain,Denmark,Europe,Christian_IV,1588,1648
47,Didrik_von_Ahlefeldt,1634,1579,certain,1645,certain,Denmark,Europe,Christian_IV,1588,1648
48,Oluf_Parsberg,1634,1590,certain,1661,certain,Denmark,Europe,Christian_IV,1588,1648
